"node","layer","lat","lon","zone","atcocode"
240187,5,53.47161,-2.07328,180," 1800EH03301"
240188,5,53.69446,-2.68716,250," 2500DCL3318"
240189,5,51.07766,-1.48723,190,"1900HAA40509"
240190,5,51.82720,-0.34043,210,"210021501160"
240191,5,55.06838,-1.53005,310," 3100Z301749"
240192,5,55.88702,-3.19761,628,"  6280325587"
240193,5,57.68941,-2.02237,630,"   630021041"
240194,5,53.34021,-1.47912,370,"   370021442"
240195,5,51.82416,-3.68390,561,"5610SRX16447"
240196,5,54.85914,-1.80432,130,"   13001760D"
240197,5,51.81762,-3.67714,561,"5610SRX16448"
240198,5,51.81726,-3.67710,561,"5610SRX16449"
240199,5,53.34186,-2.73243, 68,"06800000501A"
240200,5,52.22054, 1.18432,390,"   390040006"
240201,5,52.20463,-3.02514,209," 2090A135000"
240202,5,52.57802, 1.33924,290,"   2900F1712"
240203,5,53.18692,-2.54746, 61," 0610VR0037A"
240204,5,53.07818,-3.05048,514,"5140WRX02199"
240205,5,53.08013,-3.04838,514,"5140WRX02198"
240206,5,53.05113,-2.96747,514,"5140WRX02191"
240207,5,51.50363,-3.56842,551,"5510AWA12690"
240208,5,51.50387,-3.56271,551,"5510AWA12691"
240209,5,51.50380,-3.56255,551,"5510AWA12692"
240210,5,51.20628, 0.05014,240,"2400A034860A"
240211,5,51.50589,-3.56089,551,"5510AWA12694"
240212,5,51.50746,-3.56214,551,"5510AWA12695"
240213,5,51.50814,-3.56245,551,"5510AWA12696"
240214,5,51.51010,-3.56239,551,"5510AWA12697"
240215,5,53.55540,-2.10470,180," 1800ED14341"
240216,5,51.51094,-3.55991,551,"5510AWA12699"
240217,5,52.07379,-1.34639,340,"340001454OPP"
240218,5,52.31850,-2.39044,200," 2000G106102"
240219,5,52.32517,-2.39858,200," 2000G106100"
240220,5,52.32582,-2.40014,200," 2000G106101"
240221,5,54.07115,-2.00923,320,"3200YNA01763"
240222,5,54.07095,-2.00044,320,"3200YNA01762"
240223,5,54.07108,-2.00063,320,"3200YNA01761"
240224,5,50.95104,-2.67552,360,"3600SOA10578"
240225,5,54.06925,-2.01666,320,"3200YNA01767"
240226,5,54.06837,-2.01519,320,"3200YNA01766"
240227,5,54.07070,-2.01152,320,"3200YNA01764"
240228,5,50.94711,-2.65914,360,"3600SOA10573"
240229,5,50.94636,-2.66613,360,"3600SOA10572"
240230,5,50.95049,-2.66623,360,"3600SOA10571"
240231,5,50.95018,-2.66395,360,"3600SOA10570"
240232,5,51.28046, 0.52487,240,"2400A003210A"
240233,5,50.95254,-2.66615,360,"3600SOA10576"
240234,5,50.94671,-2.66285,360,"3600SOA10574"
240235,5,52.43064,-1.89822,430," 43000412804"
240236,5,52.43094,-1.89790,430," 43000412803"
240237,5,53.03571,-1.82710,380," 3800C804100"
240238,5,53.03557,-1.82683,380," 3800C804101"
